#,User ID,Rating_Category_ID,Semester_year_id,Semester_id,Parent_id,Subject_id,Level_id,Created_at,Updated_at,Cost,Appropriateness,Effectiveness,Value,Visual Aids ,Overall,Recommend,Manual,Slides,Question_bank,Assignments,Digital_video_resource,Reuse
1,114,Book,2019,FALL-WINT,239,HEALTHSERV,Grad_Year 2,2019-11-01 15:12:35.000,2019-11-09 05:39:35.000,Free,1.0,4.0,3.5,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2,17,Book,2019,FALL-WINT,63,HOSPTOUR,Post Doctoral,2019-11-02 15:12:34.995,2019-11-10 05:39:35.000,Free,1.5,4.0,2.0,4.0,4.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0
3,98,Book,2019,FALL-WINT,83,INFOCOMM,Post Doctoral,2019-11-03 15:12:34.995,2019-11-11 05:39:35.000,$200+,4.0,3.5,1.5,2.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
4,144,Book,2019,WINTER,247,HEALTHSERV,Other,2019-11-04 15:12:34.995,2019-11-12 05:39:35.000,$200+,0.5,2.5,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
5,32,Book,2019,FALL,319,ED,Grad_Year 2,2019-11-05 15:12:34.995,2019-11-13 05:39:35.000,$100-$149.99,5.0,4.5,3.5,4.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6,24,Book,2019,FALL,2,LAW,Grad_Year 3,2019-11-06 15:12:34.995,2019-11-14 05:39:35.000,$50-$99.99,2.0,4.5,0.5,4.5,4.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0
7,167,Book,2019,FALL,257,COMSC,Doctoral_Year 3,2019-11-07 15:12:34.995,2019-11-15 05:39:35.000,$1-$9.99,5.0,3.0,2.0,5.0,4.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0
8,15,Book,2019,FALL,148,ENVHORT,Grad_Year 4,2019-11-08 15:12:34.995,2019-11-16 05:39:35.000,$200+,3.0,0.5,1.5,4.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,182,Book,2019,SPRING,31,GEO,Undergrad_Year 1,2019-11-09 15:12:34.995,2019-11-17 05:39:35.000,$1-$9.99,4.5,3.0,3.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
10,160,Book,2019,SPR-SUMM,174,LANG,Grad_Year 2,2019-11-10 15:12:34.995,2019-11-18 05:39:35.000,$100-$149.99,4.5,3.5,3.5,3.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
11,95,Book,2019,SPRING,51,PSY,Undergrad_Year 4,2019-11-11 15:12:34.995,2019-11-19 05:39:35.000,$10-$29.99,2.0,4.5,4.0,4.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,54,Book,2019,FALL,84,LAW,Doctoral_Year 3,2019-11-12 15:12:34.995,2019-11-20 05:39:35.000,$30-$49.99,3.5,5.0,4.0,4.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0
13,185,Book,2019,WINTER,290,MEDIA,Undergrad_Year 2,2019-11-13 15:12:34.995,2019-11-21 05:39:35.000,$30-$49.99,3.5,3.5,5.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
14,177,Book,2019,SPR-SUMM,317,NURSEPSW,Other,2019-11-14 15:12:34.995,2019-11-22 05:39:35.000,$50-$99.99,0.5,0.5,2.5,3.5,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15,34,Book,2019,SPRING,88,AVIATION,Doctoral_Year 1,2019-11-15 15:12:34.995,2019-11-23 05:39:35.000,$50-$99.99,3.0,4.5,5.0,3.5,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
16,12,Book,2019,WINTER,306,LIBARTS,College Year 4,2019-11-16 15:12:34.995,2019-11-24 05:39:35.000,$100-$149.99,4.5,3.0,1.0,0.5,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
17,99,Book,2019,SUMMER,156,HIS,Grad_Year 1,2019-11-17 15:12:34.995,2019-11-25 05:39:35.000,$150-$199.99,4.5,2.0,4.0,4.5,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,73,Book,2019,SUMMER,218,MEDIA,Undergrad_Year 1,2019-11-18 15:12:34.995,2019-11-26 05:39:35.000,$10-$29.99,2.0,4.0,1.0,5.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,2,Book,2019,FALL-WINT,158,PSY,Undergrad_Year 4,2019-11-19 15:12:34.995,2019-11-27 05:39:35.000,$1-$9.99,3.5,4.0,2.0,3.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0
20,134,Book,2019,SPR-SUMM,240,HIS,College Year 4,2019-11-20 15:12:34.995,2019-11-28 05:39:35.000,$150-$199.99,3.5,2.0,0.5,5.0,4.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0
21,92,Book,2019,FALL-WINT,224,COMMSERV,Grad_Year 1,2019-11-21 15:12:34.995,2019-11-29 05:39:35.000,$30-$49.99,0.5,4.0,2.0,2.0,4.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0
22,18,Book,2019,WINTER,268,SOC,Other,2019-11-22 15:12:34.995,2019-11-30 05:39:35.000,$1-$9.99,5.0,0.5,4.5,4.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0
23,150,Book,2019,SPR-SUMM,105,COMMSERV,Post Doctoral,2019-11-23 15:12:34.995,2019-12-01 05:39:35.000,$50-$99.99,2.0,5.0,5.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0
24,56,Book,2019,FALL-WINT,45,NURSEPSW,College Year 4,2019-11-24 15:12:34.995,2019-12-02 05:39:35.000,$150-$199.99,4.5,4.5,3.0,4.5,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
25,200,Book,2019,FALL-WINT,179,SOC,College Year 4,2019-11-25 15:12:34.995,2019-12-03 05:39:35.000,$1-$9.99,4.0,5.0,2.5,4.0,4.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0
26,181,Book,2019,SUMMER,232,ED,College Year 2,2019-11-26 15:12:34.995,2019-12-04 05:39:35.000,$100-$149.99,2.5,3.0,4.5,3.5,3.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
27,195,Book,2019,FALL-WINT,283,HOSPTOUR,Grad_Year 4,2019-11-27 15:12:34.995,2019-12-05 05:39:35.000,$150-$199.99,2.0,4.5,4.5,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28,67,Book,2019,SPRING,228,PSY,Grad_Year 4,2019-11-28 15:12:34.995,2019-12-06 05:39:35.000,$10-$29.99,4.0,4.5,4.5,0.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,194,Book,2019,FALL,33,RECWELL,Other,2019-11-29 15:12:34.995,2019-12-07 05:39:35.000,$30-$49.99,0.5,2.0,3.0,1.5,4.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0
30,72,Book,2019,SPRING,110,MED,College Year 3,2019-11-30 15:12:34.995,2019-12-08 05:39:35.000,Free,1.5,3.5,1.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
31,169,Book,2019,SUMMER,132,LIBARTS,Other,2019-12-01 15:12:34.995,2019-12-09 05:39:35.000,$10-$29.99,1.0,3.5,3.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,179,Book,2019,FALL-WINT,32,LIBARTS,Grad_Year 1,2019-12-02 15:12:34.995,2019-12-10 05:39:35.000,$200+,4.0,0.5,0.5,4.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,40,Book,2019,SPRING,171,SOC,Grad_Year 1,2019-12-03 15:12:34.995,2019-12-11 05:39:35.000,Free,3.5,4.5,0.5,3.0,4.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0
